voxel ID,X,Y,Z,Saturated or Unsaturated,Recharge,Outflow or NotOutflow,ID of the next downstream voxel,Number of upstream voxels,Number of downstream voxels,Velocity
1,2588040.0,1109000.0,1080.0,Saturated,,NotOutflow,-1,0,0,0.0
2,2588120.0,1109000.0,1080.0,Unsaturated,,NotOutflow,-1,1,0,0.01
3,2588040.0,1109080.0,1080.0,Unsaturated,,NotOutflow,-1,1,0,0.01
4,2587960.0,1109160.0,1080.0,Unsaturated,,NotOutflow,-1,1,0,0.01
5,2588040.0,1109160.0,1080.0,Unsaturated,,NotOutflow,-1,0,0,0.01
6,2586040.0,1109240.0,1080.0,Saturated,,NotOutflow,-1,0,0,0.0
7,2587960.0,1109240.0,1080.0,Unsaturated,,NotOutflow,-1,1,0,0.01
8,2588040.0,1109240.0,1080.0,Saturated,,NotOutflow,-1,1,0,0.0
9,2586040.0,1109320.0,1080.0,Unsaturated,,NotOutflow,-1,0,0,0.01
10,2587960.0,1109320.0,1080.0,Unsaturated,,NotOutflow,-1,1,0,0.01
11,2588040.0,1109320.0,1080.0,Unsaturated,,NotOutflow,-1,0,0,0.01
12,2586040.0,1109400.0,1080.0,Saturated,,NotOutflow,-1,0,0,0.0
13,2586120.0,1109400.0,1080.0,Saturated,,NotOutflow,-1,0,0,0.0
14,2587880.0,1109400.0,1080.0,Unsaturated,,NotOutflow,-1,1,0,0.01
15,2587960.0,1109400.0,1080.0,Unsaturated,,NotOutflow,-1,1,0,0.01
16,2586040.0,1109480.0,1080.0,Saturated,,NotOutflow,-1,1,0,0.0
17,2586120.0,1109480.0,1080.0,Saturated,,NotOutflow,-1,0,0,0.0
18,2586200.0,1109480.0,1080.0,Saturated,,NotOutflow,-1,0,0,0.0
19,2587880.0,1109480.0,1080.0,Unsaturated,,NotOutflow,-1,0,0,0.01
20,2587960.0,1109480.0,1080.0,Saturated,,NotOutflow,-1,1,0,0.0
21,2586040.0,1109560.0,1080.0,Unsaturated,,NotOutflow,-1,0,0,0.01
22,2586120.0,1109560.0,1080.0,Unsaturated,,NotOutflow,-1,1,0,0.01
23,2586200.0,1109560.0,1080.0,Unsaturated,,NotOutflow,-1,0,0,0.01
24,2587880.0,1109560.0,1080.0,Unsaturated,,NotOutflow,-1,1,0,0.01
25,2587960.0,1109560.0,1080.0,Unsaturated,,NotOutflow,-1,0,0,0.01
26,2586040.0,1109640.0,1080.0,Saturated,,NotOutflow,-1,0,0,0.0
27,2586120.0,1109640.0,1080.0,Unsaturated,,NotOutflow,-1,1,0,0.01
28,2586200.0,1109640.0,1080.0,Unsaturated,,NotOutflow,-1,0,0,0.01
29,2586280.0,1109640.0,1080.0,Unsaturated,,NotOutflow,-1,0,0,0.01
30,2587880.0,1109640.0,1080.0,Saturated,,NotOutflow,-1,0,0,0.0
31,2586040.0,1109720.0,1080.0,Unsaturated,,NotOutflow,-1,1,0,0.01
32,2586120.0,1109720.0,1080.0,Unsaturated,,NotOutflow,-1,0,0,0.01
33,2586200.0,1109720.0,1080.0,Unsaturated,,NotOutflow,-1,1,0,0.01
34,2586280.0,1109720.0,1080.0,Saturated,,NotOutflow,-1,0,0,0.0
35,2586360.0,1109720.0,1080.0,Unsaturated,,NotOutflow,-1,0,0,0.01
36,2587800.0,1109720.0,1080.0,Unsaturated,,NotOutflow,-1,1,0,0.01
37,2587880.0,1109720.0,1080.0,Unsaturated,,NotOutflow,-1,1,0,0.01
